epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3287,1.01558,5.2313,0.97732,0,0,0,0,0.71538,4.70798,0.82132,5.54247e-05,5.54247e-05,5.54247e-05
2,23.0854,0.98992,4.5041,0.9051,0.01729,0.35278,0.03886,0.03253,0.76073,3.8339,0.83948,0.000102538,0.000102538,0.000102538
3,33.9002,0.8765,3.72944,0.86261,0.59474,0.06973,0.09036,0.07692,0.76413,2.72721,0.86717,0.000140356,0.000140356,0.000140356
4,40.3976,0.86165,3.21835,0.86426,0.40813,0.15318,0.13554,0.11625,0.7271,2.28407,0.864,0.000127172,0.000127172,0.000127172
5,46.994,0.83858,2.85872,0.86717,0.33898,0.21685,0.15726,0.13308,0.71355,1.9638,0.86537,0.00011323,0.00011323,0.00011323
6,53.5344,0.80892,2.58433,0.86104,0.47666,0.20016,0.19125,0.16309,0.68643,1.76958,0.87604,9.92875e-05,9.92875e-05,9.92875e-05
7,60.1468,0.77412,2.3701,0.85396,0.43585,0.25957,0.21457,0.18243,0.67837,1.69197,0.86666,8.5345e-05,8.5345e-05,8.5345e-05
8,66.5691,0.7689,2.23962,0.85377,0.59209,0.22967,0.24155,0.20591,0.65939,1.56155,0.8682,7.14025e-05,7.14025e-05,7.14025e-05
9,73.0334,0.7522,2.12585,0.85361,0.50162,0.26398,0.25729,0.22002,0.64802,1.49352,0.8615,5.746e-05,5.746e-05,5.746e-05
10,79.4535,0.73402,2.04619,0.8483,0.44442,0.30596,0.28163,0.24139,0.64109,1.44613,0.86252,4.35175e-05,4.35175e-05,4.35175e-05
11,85.9435,0.72629,1.9767,0.84569,0.54555,0.30042,0.286,0.24601,0.63052,1.42492,0.85492,2.9575e-05,2.9575e-05,2.9575e-05
12,92.5208,0.70985,1.92804,0.84403,0.56084,0.28447,0.29316,0.2531,0.62708,1.39309,0.85737,1.56325e-05,1.56325e-05,1.56325e-05
