epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1998,0.752,4.0794,0.99049,0.41535,0.27694,0.24952,0.21182,0.59116,1.91189,0.96349,5.54247e-05,5.54247e-05,5.54247e-05
2,265.196,0.70908,1.99109,0.95048,0.53248,0.4782,0.48093,0.40955,0.62293,1.26122,1.03404,0.000106226,0.000106226,0.000106226
3,305.392,0.69212,1.47608,0.95541,0.66214,0.52429,0.57286,0.48245,0.63669,1.15098,1.0135,0.00015145,0.00015145,0.00015145
4,372.064,0.69726,1.20159,0.95388,0.73367,0.60513,0.6636,0.56549,0.67429,1.03088,1.11081,0.000143904,0.000143904,0.000143904
5,445.949,0.68517,1.01196,0.95193,0.66733,0.67927,0.71831,0.60592,0.65678,0.91257,1.0509,0.000135538,0.000135538,0.000135538
6,501.697,0.6885,0.9165,0.94941,0.70272,0.72204,0.75508,0.63717,0.6487,0.75955,1.06779,0.000127172,0.000127172,0.000127172
7,582.034,0.65772,0.85378,0.93649,0.75943,0.71812,0.78349,0.67016,0.61005,0.71938,1.04191,0.000118807,0.000118807,0.000118807
8,650.614,0.65095,0.76155,0.9337,0.74918,0.7579,0.81668,0.69494,0.63175,0.78481,1.0468,0.000110441,0.000110441,0.000110441
9,734.125,0.64119,0.71757,0.92803,0.8669,0.72907,0.81105,0.6973,0.55987,0.6142,0.99466,0.000102076,0.000102076,0.000102076
10,805.504,0.64074,0.68818,0.92955,0.8076,0.7859,0.82693,0.71674,0.57547,0.58076,1.00596,9.37105e-05,9.37105e-05,9.37105e-05
11,887.307,0.60246,0.58498,0.91908,0.84879,0.73444,0.82812,0.71345,0.59962,0.60182,1.01847,8.5345e-05,8.5345e-05,8.5345e-05
12,971.956,0.59482,0.54044,0.91711,0.79517,0.78232,0.85423,0.74484,0.56254,0.55841,0.993,7.69795e-05,7.69795e-05,7.69795e-05
13,1022.78,0.579,0.51985,0.90625,0.8616,0.81231,0.87822,0.76875,0.55977,0.51141,0.98773,6.8614e-05,6.8614e-05,6.8614e-05
14,1117.1,0.56393,0.47742,0.90339,0.86791,0.76787,0.86637,0.75358,0.55838,0.49861,0.9841,6.02485e-05,6.02485e-05,6.02485e-05
15,1184.15,0.5654,0.46458,0.9014,0.80217,0.83451,0.87441,0.76455,0.54735,0.48457,0.9755,5.1883e-05,5.1883e-05,5.1883e-05
16,1291.59,0.55037,0.41961,0.89382,0.87085,0.81184,0.88312,0.77191,0.54003,0.46098,0.97425,4.35175e-05,4.35175e-05,4.35175e-05
17,1359.95,0.54007,0.41325,0.88265,0.83284,0.841,0.88869,0.78087,0.53814,0.45351,0.96645,3.5152e-05,3.5152e-05,3.5152e-05
18,1464.35,0.52464,0.37789,0.87865,0.82283,0.83149,0.887,0.78282,0.5303,0.44269,0.95729,2.67865e-05,2.67865e-05,2.67865e-05
19,1506.36,0.51761,0.36076,0.8763,0.80048,0.83608,0.88585,0.77836,0.53462,0.43793,0.96039,1.8421e-05,1.8421e-05,1.8421e-05
20,1577.38,0.50943,0.34858,0.87965,0.81157,0.84083,0.88595,0.77783,0.52848,0.43205,0.95138,1.00555e-05,1.00555e-05,1.00555e-05
