================================================================
  SCORING REPORT
================================================================
  Weights  : runs\detect\runs\detect\yolo11m-20epoch-640px\weights\best.pt
  Data     : data.local.yaml
----------------------------------------------------------------
  Metric                              Value
----------------------------------------------------------------
  Precision (mean)                   0.8229
  Recall (mean)                      0.8311
  mAP@0.50                           0.8871
  mAP@0.50:0.95                      0.7841
================================================================
  Class                              AP50   AP50-95
----------------------------------------------------------------
  forb_ahead                       0.9857    0.8872
  forb_left                        0.9187    0.7900
  forb_overtake                    0.9950    0.8807
  forb_right                       0.9725    0.8957
  forb_speed_over_10               0.9224    0.8582
  forb_speed_over_100              0.9556    0.9059
  forb_speed_over_130              0.9257    0.8466
  forb_speed_over_30               0.9773    0.8417
  forb_speed_over_40               0.9600    0.9039
  forb_speed_over_5                0.9950    0.8556
  forb_speed_over_50               0.9006    0.7967
  forb_speed_over_60               0.9477    0.7945
  forb_speed_over_70               0.7338    0.6473
  forb_speed_over_80               0.9769    0.9137
  forb_speed_over_90               0.9450    0.8734
  forb_stopping                    0.9853    0.8163
  forb_trucks                      0.9950    0.9950
  forb_u_turn                      0.9450    0.9156
  forb_weight_over_3.5t            0.9100    0.7086
  forb_weight_over_7.5t            0.9950    0.8809
  info_bus_station                 0.8366    0.7783
  info_crosswalk                   0.9767    0.8408
  info_highway                     0.8397    0.6386
  info_one_way_traffic             0.9146    0.7583
  info_parking                     0.9137    0.7122
  info_taxi_parking                0.9006    0.8343
  mand_bike_lane                   0.7040    0.6599
  mand_left                        0.2853    0.2442
  mand_left_right                  0.5664    0.4959
  mand_pass_left                   0.2770    0.2233
  mand_pass_left_right             0.9439    0.7869
  mand_pass_right                  0.8571    0.6971
  mand_right                       0.9521    0.8514
  mand_roundabout                  0.9946    0.9110
  mand_straigh_left                0.4234    0.3871
  mand_straight                    0.9125    0.7629
  mand_straight_right              0.8415    0.7863
  prio_give_way                    0.9928    0.8609
  prio_priority_road               0.9902    0.9156
  prio_stop                        0.9921    0.9463
  warn_children                    0.9863    0.8782
  warn_construction                0.9434    0.8553
  warn_crosswalk                   0.9738    0.7895
  warn_cyclists                    0.9281    0.8052
  warn_domestic_animals            0.9125    0.7391
  warn_other_dangers               0.9263    0.7818
  warn_poor_road_surface           0.8680    0.7404
  warn_roundabout                  0.8716    0.7526
  warn_slippery_road               0.6083    0.4549
  warn_speed_bumper                0.9496    0.8556
  warn_traffic_light               0.9864    0.8675
  warn_tram                        0.9819    0.9318
  warn_two_way_traffic             0.9450    0.9255
  warn_wild_animals                0.9629    0.8647
================================================================
