epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3116,0.86154,2.29942,0.89004,0.38799,0.32586,0.27878,0.23822,0.64342,1.46033,0.86203,5.58753e-05,5.58753e-05,5.58753e-05
2,59.4818,0.86915,2.20467,0.89678,0.52557,0.24279,0.27536,0.23274,0.66197,1.52878,0.86867,0.000106654,0.000106654,0.000106654
3,84.1428,0.86563,2.15497,0.89308,0.42895,0.35716,0.30018,0.25026,0.68334,1.49569,0.87617,0.000151856,0.000151856,0.000151856
4,108.383,0.86992,2.09947,0.89304,0.41924,0.30888,0.30381,0.25503,0.66931,1.48078,0.87366,0.000143904,0.000143904,0.000143904
5,132.771,0.85629,1.98002,0.89571,0.49451,0.35874,0.32201,0.27105,0.66214,1.37095,0.8743,0.000135538,0.000135538,0.000135538
6,161.168,0.83644,1.88681,0.88823,0.55681,0.32985,0.34711,0.29218,0.63901,1.32469,0.85976,0.000127172,0.000127172,0.000127172
7,189.417,0.82542,1.80944,0.89087,0.53845,0.33482,0.37881,0.32206,0.62901,1.24286,0.8673,0.000118807,0.000118807,0.000118807
8,217.762,0.81961,1.76727,0.89089,0.47323,0.39367,0.37958,0.32185,0.64229,1.28545,0.87156,0.000110441,0.000110441,0.000110441
9,242.184,0.81792,1.72165,0.88598,0.54508,0.36223,0.3795,0.32224,0.62739,1.24523,0.86447,0.000102076,0.000102076,0.000102076
10,264.537,0.80081,1.6744,0.88456,0.55743,0.36114,0.39701,0.33758,0.6194,1.18714,0.86252,9.37105e-05,9.37105e-05,9.37105e-05
11,286.822,0.70516,1.52358,0.84945,0.48274,0.40899,0.40038,0.34304,0.60803,1.15365,0.86065,8.5345e-05,8.5345e-05,8.5345e-05
12,308.404,0.69886,1.44775,0.84802,0.46097,0.42305,0.41626,0.35465,0.6196,1.13925,0.86262,7.69795e-05,7.69795e-05,7.69795e-05
13,330.002,0.69194,1.41869,0.8462,0.43312,0.46394,0.4306,0.36738,0.61162,1.12041,0.8603,6.8614e-05,6.8614e-05,6.8614e-05
14,351.707,0.69946,1.38073,0.84467,0.4684,0.45812,0.44483,0.37826,0.6103,1.08779,0.85514,6.02485e-05,6.02485e-05,6.02485e-05
15,373.333,0.67366,1.34011,0.84307,0.4855,0.43054,0.43478,0.37232,0.60941,1.09485,0.85631,5.1883e-05,5.1883e-05,5.1883e-05
16,395.072,0.67253,1.31408,0.84537,0.48789,0.45433,0.45064,0.38607,0.59361,1.05164,0.85149,4.35175e-05,4.35175e-05,4.35175e-05
17,416.376,0.66294,1.2911,0.84542,0.49935,0.47691,0.46664,0.40083,0.58891,1.02658,0.85011,3.5152e-05,3.5152e-05,3.5152e-05
18,437.924,0.6646,1.25833,0.85106,0.52887,0.43237,0.46565,0.39985,0.59547,1.02932,0.85219,2.67865e-05,2.67865e-05,2.67865e-05
19,459.466,0.66986,1.26838,0.83981,0.54772,0.42926,0.47037,0.4047,0.58603,1.00889,0.84939,1.8421e-05,1.8421e-05,1.8421e-05
20,481.101,0.64833,1.25135,0.83745,0.51449,0.46006,0.47422,0.40817,0.58519,1.0061,0.84924,1.00555e-05,1.00555e-05,1.00555e-05
