================================================================
  SCORING REPORT
================================================================
  Weights  : runs\detect\runs\detect\train8\weights\best.pt
  Data     : data.local.yaml
----------------------------------------------------------------
  Metric                              Value
----------------------------------------------------------------
  Precision (mean)                   0.5145
  Recall (mean)                      0.4600
  mAP@0.50                           0.4738
  mAP@0.50:0.95                      0.4087
================================================================
  Class                              AP50   AP50-95
----------------------------------------------------------------
  forb_ahead                       0.8894    0.8125
  forb_left                        0.6096    0.5446
  forb_overtake                    0.9688    0.8403
  forb_right                       0.9384    0.7912
  forb_speed_over_10               0.3996    0.3826
  forb_speed_over_100              0.5093    0.4469
  forb_speed_over_130              0.5041    0.3833
  forb_speed_over_30               0.6822    0.5648
  forb_speed_over_40               0.1331    0.1105
  forb_speed_over_5                0.2035    0.1815
  forb_speed_over_50               0.6105    0.5256
  forb_speed_over_60               0.1878    0.1522
  forb_speed_over_70               0.2066    0.1862
  forb_speed_over_80               0.4707    0.3985
  forb_speed_over_90               0.1263    0.0935
  forb_stopping                    0.9302    0.8171
  forb_trucks                      0.0000    0.0000
  forb_u_turn                      0.1698    0.1462
  forb_weight_over_3.5t            0.6900    0.5650
  forb_weight_over_7.5t            0.0643    0.0563
  info_bus_station                 0.7450    0.6392
  info_crosswalk                   0.8910    0.7435
  info_highway                     0.1580    0.1094
  info_one_way_traffic             0.6081    0.4940
  info_parking                     0.4919    0.3826
  info_taxi_parking                0.0000    0.0000
  mand_bike_lane                   0.5920    0.5150
  mand_left                        0.0773    0.0697
  mand_left_right                  0.0131    0.0105
  mand_pass_left                   0.1716    0.1431
  mand_pass_left_right             0.6354    0.5150
  mand_pass_right                  0.6317    0.5330
  mand_right                       0.8485    0.7631
  mand_roundabout                  0.9747    0.8870
  mand_straigh_left                0.2105    0.1861
  mand_straight                    0.1295    0.1126
  mand_straight_right              0.5264    0.4697
  prio_give_way                    0.9557    0.8351
  prio_priority_road               0.9814    0.8625
  prio_stop                        0.9755    0.9228
  warn_children                    0.5043    0.4238
  warn_construction                0.3857    0.3376
  warn_crosswalk                   0.7056    0.5698
  warn_cyclists                    0.7319    0.6208
  warn_domestic_animals            0.0437    0.0276
  warn_other_dangers               0.3342    0.2828
  warn_poor_road_surface           0.3165    0.2734
  warn_roundabout                  0.6730    0.6247
  warn_slippery_road               0.0243    0.0199
  warn_speed_bumper                0.3433    0.3062
  warn_traffic_light               0.7428    0.6279
  warn_tram                        0.3084    0.2642
  warn_two_way_traffic             0.0327    0.0286
  warn_wild_animals                0.5253    0.4711
================================================================
