epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.11,0.81347,6.66104,0.99679,0.34757,0.21587,0.14896,0.12948,0.59388,2.55355,0.90377,5.54247e-05,5.54247e-05,5.54247e-05
2,42.0022,0.7318,2.94323,0.92897,0.47321,0.35547,0.29042,0.25053,0.57684,1.60881,0.90162,0.000106226,0.000106226,0.000106226
3,56.6014,0.71195,2.13566,0.93662,0.48246,0.46226,0.40898,0.34944,0.60221,1.45204,0.9385,0.00015145,0.00015145,0.00015145
4,70.5557,0.70031,1.63204,0.9343,0.54402,0.51189,0.52042,0.4474,0.60696,1.07413,0.95245,0.000143904,0.000143904,0.000143904
5,84.6822,0.67487,1.3476,0.92119,0.6806,0.49618,0.58071,0.50048,0.57195,0.9495,0.91206,0.000135538,0.000135538,0.000135538
6,98.2771,0.679,1.16353,0.91567,0.60701,0.6179,0.62964,0.54543,0.57626,0.86887,0.91265,0.000127172,0.000127172,0.000127172
7,111.847,0.65516,1.05138,0.9098,0.75442,0.5911,0.66639,0.5773,0.56676,0.8158,0.90425,0.000118807,0.000118807,0.000118807
8,125.4,0.65289,0.93294,0.90832,0.65675,0.71029,0.70594,0.6114,0.56132,0.71753,0.90304,0.000110441,0.000110441,0.000110441
9,138.988,0.64823,0.87716,0.90372,0.75517,0.62095,0.70541,0.61439,0.56023,0.69026,0.9007,0.000102076,0.000102076,0.000102076
10,152.644,0.64607,0.8151,0.90607,0.79447,0.65863,0.73167,0.64141,0.52723,0.64432,0.88715,9.37105e-05,9.37105e-05,9.37105e-05
11,170.642,0.60354,0.71225,0.87804,0.80319,0.68014,0.76558,0.6619,0.55913,0.63657,0.89819,8.5345e-05,8.5345e-05,8.5345e-05
12,184.184,0.59934,0.6633,0.8867,0.72263,0.71911,0.7624,0.66855,0.53506,0.6138,0.8895,7.69795e-05,7.69795e-05,7.69795e-05
13,197.66,0.5884,0.61,0.88145,0.76075,0.73213,0.78038,0.68337,0.5327,0.57923,0.88302,6.8614e-05,6.8614e-05,6.8614e-05
14,211.224,0.57333,0.57164,0.8733,0.84297,0.6992,0.77987,0.68414,0.54209,0.58931,0.8937,6.02485e-05,6.02485e-05,6.02485e-05
15,224.805,0.57178,0.54722,0.87423,0.77875,0.73182,0.78744,0.69447,0.51887,0.53928,0.8769,5.1883e-05,5.1883e-05,5.1883e-05
16,238.403,0.56018,0.50463,0.86867,0.80967,0.75642,0.79097,0.69875,0.50793,0.51399,0.87222,4.35175e-05,4.35175e-05,4.35175e-05
17,251.967,0.55981,0.48833,0.86561,0.83118,0.74484,0.80592,0.71002,0.51324,0.50435,0.8749,3.5152e-05,3.5152e-05,3.5152e-05
18,265.541,0.54295,0.45722,0.86027,0.83598,0.74062,0.81469,0.72012,0.51071,0.49412,0.87348,2.67865e-05,2.67865e-05,2.67865e-05
19,279.064,0.54102,0.43752,0.85874,0.8365,0.76138,0.81778,0.72214,0.51051,0.48143,0.87077,1.8421e-05,1.8421e-05,1.8421e-05
20,292.51,0.52746,0.422,0.85991,0.80364,0.76914,0.82146,0.72611,0.50698,0.47104,0.86888,1.00555e-05,1.00555e-05,1.00555e-05
