================================================================
  SCORING REPORT
================================================================
  Weights  : runs\detect\runs\detect\yolo11s-20epoch-640px\weights\best.pt
  Data     : data.local.yaml
----------------------------------------------------------------
  Metric                              Value
----------------------------------------------------------------
  Precision (mean)                   0.8052
  Recall (mean)                      0.7682
  mAP@0.50                           0.8214
  mAP@0.50:0.95                      0.7253
================================================================
  Class                              AP50   AP50-95
----------------------------------------------------------------
  forb_ahead                       0.9882    0.8731
  forb_left                        0.8502    0.7569
  forb_overtake                    0.9950    0.8825
  forb_right                       0.9875    0.8908
  forb_speed_over_10               0.9249    0.8569
  forb_speed_over_100              0.9360    0.9114
  forb_speed_over_130              0.9290    0.8099
  forb_speed_over_30               0.9689    0.8312
  forb_speed_over_40               0.9003    0.7979
  forb_speed_over_5                0.9617    0.8549
  forb_speed_over_50               0.9683    0.8772
  forb_speed_over_60               0.8557    0.7564
  forb_speed_over_70               0.6013    0.5412
  forb_speed_over_80               0.8437    0.7785
  forb_speed_over_90               0.8006    0.7320
  forb_stopping                    0.9936    0.9010
  forb_trucks                      0.4975    0.4477
  forb_u_turn                      0.7232    0.6813
  forb_weight_over_3.5t            0.9730    0.7752
  forb_weight_over_7.5t            0.8050    0.6932
  info_bus_station                 0.8093    0.7429
  info_crosswalk                   0.9796    0.8188
  info_highway                     0.7659    0.5535
  info_one_way_traffic             0.8337    0.6749
  info_parking                     0.8751    0.6940
  info_taxi_parking                0.4544    0.4236
  mand_bike_lane                   0.8095    0.7621
  mand_left                        0.3661    0.3317
  mand_left_right                  0.0820    0.0635
  mand_pass_left                   0.2354    0.1910
  mand_pass_left_right             0.9158    0.7774
  mand_pass_right                  0.7654    0.6539
  mand_right                       0.9415    0.8430
  mand_roundabout                  0.9926    0.9240
  mand_straigh_left                0.4549    0.4107
  mand_straight                    0.8613    0.7481
  mand_straight_right              0.8639    0.8010
  prio_give_way                    0.9855    0.8795
  prio_priority_road               0.9884    0.9056
  prio_stop                        0.9871    0.9288
  warn_children                    0.9495    0.8672
  warn_construction                0.9295    0.8283
  warn_crosswalk                   0.9698    0.8100
  warn_cyclists                    0.9352    0.8417
  warn_domestic_animals            0.4873    0.4092
  warn_other_dangers               0.8892    0.8168
  warn_poor_road_surface           0.8595    0.7524
  warn_roundabout                  0.8086    0.7131
  warn_slippery_road               0.6413    0.4028
  warn_speed_bumper                0.8512    0.7341
  warn_traffic_light               0.9950    0.8730
  warn_tram                        0.9900    0.9076
  warn_two_way_traffic             0.6242    0.5896
  warn_wild_animals                0.9517    0.8438
================================================================
